id,city,state,population,latitude,longitude,gestation_8_duration,gestation_8_duration_closed,gestation_12_duration,gestation_12_duration_closed,gestation_16_duration,gestation_16_duration_closed,gestation_20_duration,gestation_20_duration_closed
0,New York,New York,8550405,40.712784,-74.005941,0,0,0,0,0,0,0,0
1,Los Angeles,California,3971883,34.052234,-118.243685,0,0,0,0,0,0,0,0
2,Chicago,Illinois,2720546,41.878114,-87.629798,0,0,0,0,0,0,0,0
3,Houston,Texas,2296224,29.760427,-95.369803,0,0,0,0,0,0,0,4
4,Philadelphia,Pennsylvania,1567442,39.952584,-75.165222,0,0,0,0,0,0,0,0
5,Phoenix,Arizona,1563025,33.448377,-112.074037,0,0,0,0,0,0,0,0
6,San Antonio,Texas,1469845,29.424122,-98.493628,0,0,0,0,0,0,0,2
7,San Diego,California,1394928,32.715738,-117.161084,0,0,0,0,0,0,0,0
8,Dallas,Texas,1300092,32.776664,-96.796988,0,0,0,0,0,0,0,5
9,San Jose,California,1026908,37.338208,-121.886329,0,0,0,0,0,0,0,1
10,Austin,Texas,931830,30.267153,-97.743061,0,0,0,0,0,0,0,2
11,Indianapolis,Indiana,853173,39.768403,-86.158068,0,0,0,0,0,3,0,4
12,Jacksonville,Florida,868031,30.332184,-81.655651,0,0,0,0,0,0,0,0
13,San Francisco,California,864816,37.774929,-122.419415,0,0,0,0,0,0,0,0
14,Columbus,Ohio,850106,39.961176,-82.998794,0,0,0,0,0,0,2,4
15,Charlotte,North Carolina,827097,35.227087,-80.843127,0,0,0,0,0,0,0,2
16,Fort Worth,Texas,833319,32.755488,-97.330766,0,0,0,0,0,1,1,5
17,Detroit,Michigan,677116,42.331427,-83.045754,0,0,0,0,0,0,0,0
18,El Paso,Texas,681124,31.761878,-106.485022,0,0,0,0,7,7,7,12
19,Memphis,Tennessee,655770,35.149534,-90.04898,0,0,0,0,4,5,4,7
20,Seattle,Washington,684451,47.606209,-122.332071,0,0,0,0,0,0,0,0
21,Denver,Colorado,682545,39.739236,-104.990251,0,0,0,0,0,0,0,0
22,Washington,District of Columbia,672228,38.907192,-77.036871,0,0,0,0,0,0,0,0
23,Boston,Massachusetts,667137,42.360082,-71.05888,0,0,0,0,0,0,0,0
24,Nashville,Tennessee,654610,36.162664,-86.781602,0,0,0,0,0,3,3,7
25,Baltimore,Maryland,621849,39.290385,-76.612189,0,0,0,0,0,0,0,0
26,Oklahoma City,Oklahoma,631346,35.46756,-97.516428,0,0,0,0,0,4,0,4
27,Louisville,Kentucky,615366,38.252665,-85.758456,0,3,0,3,0,3,3,4
28,Portland,Oregon,632309,45.523062,-122.676481,0,0,0,0,0,4,0,4
29,Las Vegas,Nevada,623747,36.169941,-115.13983,0,0,0,0,0,0,0,0
30,Milwaukee,Wisconsin,600155,43.038902,-87.906474,0,0,0,0,0,0,0,2
31,Albuquerque,New Mexico,559121,35.085334,-106.605553,0,0,0,0,0,0,0,12
32,Tucson,Arizona,531641,32.221743,-110.926479,0,3,3,3,3,3,3,3
33,Fresno,California,520052,36.746842,-119.772587,0,0,0,0,0,0,0,3
34,Sacramento,California,490712,38.581572,-121.4944,0,0,0,0,0,0,0,0
35,Long Beach,California,474140,33.77005,-118.19374,0,0,0,0,0,0,0,0
36,Kansas City,Missouri,475378,39.099727,-94.578567,0,0,0,0,0,0,0,0
37,Mesa,Arizona,471825,33.415184,-111.831472,0,0,0,0,0,0,0,1
38,Virginia Beach,Virginia,452745,36.852926,-75.977985,0,0,0,0,3,6,6,6
39,Atlanta,Georgia,463878,33.748995,-84.387982,0,0,0,0,0,0,0,0
40,Colorado Springs,Colorado,456568,38.833882,-104.821363,0,1,0,2,0,2,2,2
41,Omaha,Nebraska,443885,41.252363,-95.997988,0,0,0,0,0,0,0,5
42,Raleigh,North Carolina,451066,35.77959,-78.638179,0,0,0,0,0,0,0,1
43,Miami,Florida,441003,25.76168,-80.19179,0,0,0,0,0,0,0,0
44,Oakland,California,419267,37.804364,-122.271114,0,0,0,0,0,0,0,0
45,Minneapolis,Minnesota,410939,44.977753,-93.265011,0,0,0,0,0,0,0,0
46,Tulsa,Oklahoma,403505,36.153982,-95.992775,0,3,0,3,3,5,3,5
47,Cleveland,Ohio,388072,41.49932,-81.694361,0,0,0,0,0,1,0,5
48,Wichita,Kansas,389965,37.687176,-97.330053,0,4,0,4,0,4,0,4
49,Arlington,Texas,388125,32.735687,-97.108066,0,0,0,0,0,1,1,6
50,New Orleans,Louisiana,389617,29.951066,-90.071532,0,2,0,2,0,2,8,10
51,Bakersfield,California,373640,35.373292,-119.018713,0,3,0,3,0,3,0,2
