city,state,population,latitude,longitude,gestation_8_duration,gestation_8_duration_closed,gestation_12_duration,gestation_12_duration_closed,gestation_16_duration,gestation_16_duration_closed,gestation_20_duration,gestation_20_duration_closed,"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2011-2014","% change in the no. of clinics, 2011-2014","% of all U.S. abortions, by state of occurrence, 2014","% of counties without a known clinic, 2014 [2]","% of women aged 15-44 living in a county without a clinic, 2014 [4]","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2014","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of residence, 2014 [1]","Change in the no. of clinics, 2011-2014","No. of abortions, by state of occurrence, 2014 [3]","No. of abortions, by state of residence, 2014 [5]","No. of clinics, 2014"
New York,New York,8550405,40.712784,-74.005941,0,0,0,0,0,0,0,0,-13,1,12.9,44,10,29.6,29,1,"119,940","117,580",95
Buffalo,New York,258071,42.886447,-78.87836899999999,0,0,0,0,0,0,6,7,-13,1,12.9,44,10,29.6,29,1,"119,940","117,580",95
Rochester,New York,209802,43.16103,-77.610922,0,0,0,2,2,2,8,8,-13,1,12.9,44,10,29.6,29,1,"119,940","117,580",95
Yonkers,New York,201116,40.93121,-73.898747,0,0,0,0,0,0,0,0,-13,1,12.9,44,10,29.6,29,1,"119,940","117,580",95
Syracuse,New York,144142,43.048122,-76.147424,0,1,0,1,3,4,6,6,-13,1,12.9,44,10,29.6,29,1,"119,940","117,580",95
Albany,New York,98469,42.652578999999996,-73.756232,0,0,0,0,0,2,2,3,-13,1,12.9,44,10,29.6,29,1,"119,940","117,580",95
Schenectady,New York,65305,42.814243,-73.93956899999999,0,0,0,0,0,3,3,4,-13,1,12.9,44,10,29.6,29,1,"119,940","117,580",95
Utica,New York,61100,43.100903,-75.232664,0,1,0,1,2,5,5,6,-13,1,12.9,44,10,29.6,29,1,"119,940","117,580",95
White Plains,New York,58459,41.033986,-73.76290999999999,0,0,0,0,0,0,0,0,-13,1,12.9,44,10,29.6,29,1,"119,940","117,580",95
Hempstead,New York,55547,40.706213,-73.61874,0,0,0,0,0,0,0,0,-13,1,12.9,44,10,29.6,29,1,"119,940","117,580",95
Los Angeles,California,3971883,34.052234000000006,-118.24368500000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Diego,California,1394928,32.715738,-117.161084,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Jose,California,1026908,37.338208,-121.886329,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Francisco,California,864816,37.774929,-122.41941499999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Fresno,California,520052,36.746842,-119.77258700000002,0,0,0,0,0,0,0,3,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Sacramento,California,490712,38.581571999999994,-121.4944,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Long Beach,California,474140,33.77005,-118.19373999999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Oakland,California,419267,37.804364,-122.27111399999998,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Bakersfield,California,373640,35.373292,-119.01871299999999,0,3,0,3,0,3,0,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Anaheim,California,350742,33.836593,-117.914301,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Santa Ana,California,335400,33.745472,-117.867653,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Riverside,California,322424,33.953348999999996,-117.396156,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Stockton,California,305658,37.957702000000005,-121.29078,0,0,0,1,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Chula Vista,California,265757,32.640054,-117.08419599999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Irvine,California,256927,33.684567,-117.82650500000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Fremont,California,232206,37.54827,-121.98857199999999,0,0,0,0,0,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
San Bernardino,California,216108,34.108345,-117.28976499999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Modesto,California,211266,37.639097,-120.99687800000001,0,0,0,1,0,1,0,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Oxnard,California,207254,34.197505,-119.177052,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Fontana,California,207460,34.092233,-117.435048,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Moreno Valley,California,204198,33.942465999999996,-117.229672,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Huntington Beach,California,201899,33.659484,-117.99880300000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Glendale,California,201020,34.142508,-118.255075,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Santa Clarita,California,182371,34.391664,-118.54258600000001,0,0,0,0,0,1,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Garden Grove,California,175393,33.774269,-117.937995,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Oceanside,California,175691,33.19587,-117.37948300000001,0,0,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Santa Rosa,California,174972,38.440428999999995,-122.714055,0,1,0,1,2,2,2,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Rancho Cucamonga,California,175236,34.839964,-115.967051,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Ontario,California,171214,34.063344,-117.650888,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Elk Grove,California,166913,38.408799,-121.371618,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Lancaster,California,161103,34.686785,-118.15416299999998,1,1,1,1,1,1,1,2,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Corona,California,164226,33.875293,-117.56643799999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Palmdale,California,158351,34.579434,-118.11646100000002,1,1,1,1,1,1,1,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Salinas,California,157380,36.677737,-121.655501,0,0,0,1,0,1,1,3,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Hayward,California,158289,37.668821,-122.08079599999999,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Pomona,California,153266,34.055103,-117.749991,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Escondido,California,151451,33.119207,-117.086421,0,0,0,1,0,1,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Sunnyvale,California,151754,37.368829999999996,-122.03635,0,0,0,0,0,0,0,1,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Torrance,California,148475,33.835848999999996,-118.340629,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Orange,California,140992,33.787914,-117.853101,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Pasadena,California,142250,34.147785,-118.14451499999998,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
Fullerton,California,140847,33.870365,-117.92421200000001,0,0,0,0,0,0,0,0,-15,-5,17,43,5,19.5,19,-8,"157,350","154,660",152
